时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-21 16:00:00,111780.39,BEARISH_SINGULARITY,short,0.7,0.6628542964588156,-0.0811218395212252,3.1162015490698027,1.8336522128381223,-0.2849848418852939,113422.6,114000.0,111324.29,10731.47816,1.8336522128381223,True,
2025-10-21 20:00:00,108297.67,BEARISH_SINGULARITY,short,0.7,0.5542879525616616,-0.0708817534276,1.6758230474806761,-1.213167490812123,-0.2849848418852939,111780.4,111801.41,108045.81,6168.56427,-1.213167490812123,True,
2025-10-22 00:00:00,108216.02,BEARISH_SINGULARITY,short,0.7,0.4273188580587018,-0.0542403762229392,1.2510702060105625,-1.1664442945669125,0.2124200108776399,108297.66,108678.21,107841.2,4851.56459,-1.1664442945669125,True,
2025-10-25 12:00:00,111385.18,BULLISH_SINGULARITY,long,0.6,-0.4940561544651324,0.0358168080032636,0.4374737906767873,0.9117939753908286,0.0635494151304427,111563.81,111943.19,111311.19,1254.08497,0.9117939753908286,True,
2025-10-25 16:00:00,111623.45,BULLISH_SINGULARITY,long,0.6,-0.5489718742485907,0.0564976745507966,0.3549927572383025,1.0191690753026583,0.0635494151304427,111385.18,111731.78,111164.39,963.51944,1.0191690753026583,True,
2025-10-25 20:00:00,111646.27,BULLISH_SINGULARITY,long,0.6,-0.5580744784193863,0.0750678211711047,0.2411298176031565,0.9398598286369134,0.0635494151304427,111623.46,111683.64,111342.25,565.73827,0.9398598286369134,True,
2025-10-26 00:00:00,111260.46,BULLISH_SINGULARITY,long,0.6,-0.5482925430701895,0.0907750928993703,0.4673277578538588,0.5344563188040257,0.0635494151304427,111646.27,111899.56,111260.45,1026.78183,0.5344563188040257,True,
2025-10-26 04:00:00,111723.98,BULLISH_SINGULARITY,long,0.6,-0.4856211271711869,0.1032422698869818,0.32720457844908435,0.8617189637715246,0.0635494151304427,111260.46,111724.96,111260.46,665.50994,0.8617189637715246,True,
2025-10-27 04:00:00,115554.6,BEARISH_SINGULARITY,short,0.7,0.5635786734067567,-0.0261097873077355,2.5116524763777908,2.7953354212535064,0.099309174300762,114958.52,116400.0,114938.01,5478.9455,2.7953354212535064,True,
2025-10-27 08:00:00,115362.02,BEARISH_SINGULARITY,short,0.7,0.6471977151611932,-0.0574967000869222,1.6168692007404466,2.3681947387800344,0.099309174300762,115554.59,115607.48,114814.69,3701.92326,2.3681947387800344,True,
